subsystem,part_number,description,qty,unit_cost_low,unit_cost_high,vendor,status,notes
Reaction Chamber,Sliding seal/gland,PTFE bushing or O-ring+wiper for 10mm rod,2,10,40,various,pending-design,ELECTRODE-Q4 open; depends on argon vs vacuum mode
Reaction Chamber,Tube-end termination,Cap/seal housing for push rod entry,2,30,80,fabricate,pending-design,ELECTRODE-Q6 open; depends on Q4
Reaction Chamber,Load cell,Compression force feedback,1,40,120,various,sourcing,Essential for tilt/asymmetric load detection
Reaction Chamber,4-wire R probe,Sample resistance measurement,1,20,50,fabricate,build,Disconnect before fire reconnect after dump
Reaction Chamber,BN tube (upgrade),Hot-pressed boron nitride 18mm ID,1,200,200,various,future,8x cost; 1000+ shot extrapolated life
Sample Prep,Analytical balance,0.01-0.1g resolution e.g. Ohaus Scout SKX223,1,150,300,Ohaus/various,sourcing,Prep zone; 1g sample weighing
Sample Prep,Compression jig,Bench-mounted vise/screw-clamp + load cell or pneumatic ram,1,100,300,fabricate/various,pending-design,Target 5-50 MPa over 254 mm2 = 1.3-13 kN; shared load cell with reaction position TBD (PREP-Q2)
Sample Prep,Resistance verifier,4-wire ohmmeter w/ Kelvin clips 0.1-20 ohm range,1,80,200,Keithley/various,sourcing,Can be benchtop DMM e.g. Keithley 2110
Sample Prep,Tube parking station,Holds 2-3 prepared tubes upright,1,30,80,fabricate,build,Prevents column shift before transfer
Sample Prep,Transfer tray,Manual hand-carry tray w/ column-keeper,1,20,50,fabricate,build,V1 option; sliding stage deferred to future
Sample Prep,Spare tubes for rotation,Additional CFQ18X21.6 (3-tube rotation pool),2,55,55,Wale Apparatus,sourcing,Rotation pool: 3 tubes + 3 electrode sets
Sample Prep,Spare push rods for rotation,Additional C110 Cu rods,4,15,30,McMaster-Carr,sourcing,Rotation pool: 2 sets x 2 rods
Sample Prep,PPE,Cut-resistant gloves + N95/P100 respirator + safety glasses,1,50,100,various,sourcing,Stored at prep zone
Atmosphere,Rotary vane pump,3.5 cfm pump,1,200,500,used market,sourcing,
Atmosphere,901P-11030,MKS pressure gauge KF-25 direct mount,1,170,200,MKS (refurb),sourcing,LOCKED; 10^-5 to 1000 Torr
Atmosphere,722A02T,MKS Baratron 10 Torr capacitance manometer,1,150,300,MKS,sourcing,
Atmosphere,Convectron,Backup vacuum gauge,1,80,150,various,sourcing,
Atmosphere,Cold trap,LN2 U-tube,1,80,200,fabricate,build,Between reactor and pump
Atmosphere,Argon plumbing,1/4in SS Swagelok + 7um filter + MFC + check valve,1,300,600,Swagelok,sourcing,
Atmosphere,Argon regulator,UHP 5N argon regulator,1,80,150,various,sourcing,GAP - regulator/cylinder/purity not previously specced
Atmosphere,Argon cylinder,Compressed argon gas,1,100,200,industrial gas vendor,sourcing,GAP - cylinder size not specified
Control,ESP32-S3 dev board,Microcontroller,1,15,25,Espressif/Adafruit,sourcing,
Control,MCP4922,12-bit SPI DAC,1,3,5,Microchip,sourcing,V_PROG output
Control,Op-amp scaler,For DAC -> CCPF V_PROG,1,2,5,various,sourcing,
Control,ADS1115,16-bit I2C ADC,1,5,10,Adafruit,sourcing,V_MON input
Control,Optoisolators,6N137 high-speed,4,2,3,various,sourcing,
Control,Ferrite clamps,For signal cables,8,2,5,various,sourcing,
Control,Isolated wall-wart,For ESP32 power,1,10,15,various,sourcing,Never tied to bank ground
Power Cabling,Mains AC cable,14 AWG 3-conductor SOOW 600V 90C EPDM jacket 3x 2m runs,3,15,30,Carol/General Cable,sourcing,Replaces incorrect Belden 8267 mains spec; L/N/Earth per NEC 400.7
Power Cabling,Earth/ground wire,10 AWG green/yellow grounding wire,1,10,20,various,sourcing,CCPF to chassis star-point single conductor
Power Cabling,Belden 8267,RG-213/U flexible coax 50 ohm 13 AWG (for discharge flex link only, not mains AC),1,30,60,Belden (Mouser),sourcing,SCR-to-reactor flex link <=1m; NOT for mains AC (2-conductor cable)
Diagnostics,Rogowski coil,PEM CWT or similar 0-10kA range,1,200,500,PEM/various,sourcing,GAP-FILL diagnostic
Diagnostics,HV divider,100:1 ratio LOCKED BNC-out >=10 MHz bandwidth,1,50,200,various,sourcing,GAP-FILL diagnostic; locked at 100:1 (was 10:1 or 100:1); 100:1 keeps scope input <4V under transient ringing
Diagnostics,Oscilloscope,4-channel 100MHz min deep memory,1,300,1500,various,sourcing,GAP-FILL diagnostic; can be existing lab scope
Diagnostics,Photodiode,BPW34 + amplifier,1,1,10,Vishay,sourcing,GAP-FILL diagnostic; flash t=0 reference
Enclosure,Aluminum enclosure,Faraday-shielded chassis,1,100,300,Hammond/various,sourcing,
Enclosure,Door interlocks,Magnetic switches + relays,1,30,60,various,sourcing,Lock until V_MON < 50V
Enclosure,Wiring,Misc internal wiring,1,50,100,various,sourcing,
